finishedfloor1squarefeet,numberofstories,logerror,fireplaceflag,regionidcity,finishedsquarefeet6,regionidzip,typeconstructiontypeid,buildingclasstypeid,longitude,fireplacecnt,regionidcounty,taxdelinquencyflag,pooltypeid10,storytypeid,structuretaxvaluedollarcnt,poolsizesum,garagetotalsqft,censustractandblock,poolcnt,calculatedfinishedsquarefeet,taxdelinquencyyear,latitude,roomcnt,bedroomcnt,yardbuildingsqft17,basementsqft,hashottuborspa,taxamount,threequarterbathnbr,unitcnt,buildingqualitytypeid,assessmentyear,parcelid,landtaxvaluedollarcnt,propertylandusetypeid,propertycountylandusecode,yearbuilt,regionidneighborhood,fips,decktypeid,heatingorsystemtypeid,airconditioningtypeid,architecturalstyletypeid,propertyzoningdesc,garagecarcnt,rawcensustractandblock,fullbathcnt,transactiondate,finishedsquarefeet50,calculatedbathnbr,pooltypeid7,taxvaluedollarcnt,finishedsquarefeet12,finishedsquarefeet13,yardbuildingsqft26,finishedsquarefeet15,lotsizesquarefeet,bathroomcnt,pooltypeid2
,1,0.077,,24812,,97040,,,-117935412,,1286,,,,53568.0,,361,60590112002004,,1325.0,,33876036,6.0,2.0,,,,7934.8,,,,2015,13873211,636432.0,261,122,1929.0,,06059,,,,,,1,060590112.002004,2,2016-08-03,,2.0,,690000.0,1325,,,,12969.0,2.0,
,,-0.2256,,12447,,95993,,,-118233000,,3101,,,,206499.0,,,60372060311030,,1233.0,,34046300,0.0,0.0,,,,4469.55,,1,4,2015,11794237,137662.0,266,010C,1907.0,268057,06037,,2,1,,LAM3,,060372060.311030,1,2016-07-15,,1.0,,344161.0,1233,,,,24114.0,1.0,
,,-0.0192,,12447,,96411,,,-118450794,,3101,,,,156872.0,,,60371193102003,,1231.0,,34244801,0.0,3.0,,,,4583.57,,1,7,2015,11041501,216439.0,261,0100,1955.0,13176,06037,,2,,,LARS,,060371193.102003,2,2016-06-14,,2.0,,373311.0,1231,,,,7790.0,2.0,
,,-0.0182,,38032,,96959,,,-117905000,,1286,,,,142471.0,,400,60590631032006,,1282.0,,33640300,0.0,3.0,,,,7056.12,1,,,2015,14282171,467529.0,261,122,1985.0,,06059,,,,,,2,060590631.032006,2,2016-05-17,,2.5,,610000.0,1282,,,,1683.0,2.5,
,,-0.002,,32380,,96989,,,-117625583,,1286,,,,79062.0,,0,60590524282002,,795.0,,33686854,0.0,2.0,,,,2876.04,,,,2015,14737614,200656.0,266,34,1989.0,,06059,,,,,,1,060590524.282002,2,2016-05-31,,2.0,,279718.0,795,,,,2043.0,2.0,
,,0.001,,396053,,95982,,,-118250566,,3101,,,,229020.0,,,60375350013000,,1252.0,,33971512,0.0,4.0,,,,5521.95,,2,7,2015,12199038,159037.0,246,0200,1951.0,,06037,,,,,LCR3YY,,060375350.013000,2,2016-09-30,,2.0,,388057.0,,,,1252,4849.0,2.0,
,,0.003,,30267,,96204,,,-118070063,,3101,,,,190100.0,,,60375549002004,,692.0,,33855807,0.0,1.0,,,,9444.72,,1,7,2015,12423840,260094.0,260,010V,1934.0,,06037,,,,,ATR16000*,,060375549.002004,1,2016-05-09,,1.0,,450194.0,692,,,,4499.0,1.0,
,,0.0237,,12447,,95989,,,-118321883,,3101,,,,148000.0,,,60372340004002,,1841.0,,34008708,0.0,4.0,,,,7057.39,,1,7,2015,11709831,361000.0,261,0100,1927.0,274293,06037,,7,,,LAR1,,060372340.004002,3,2016-05-25,,3.0,,509000.0,1841,,,,4345.0,3.0,
,,-0.0965,,26964,,96150,,,-118497000,,3101,,,,107886.0,,,60377013022017,,950.0,,34026400,0.0,1.0,,,,6756.52,,1,4,2015,11583256,431555.0,266,010E,1924.0,,06037,,7,,,SMR2*,,060377013.022017,1,2016-05-25,,1.0,,539441.0,950,,,,7505.0,1.0,
,1,0.0723,,52842,,96963,,,-117754000,,1286,,,,138084.0,,0,60590626493002,,1636.0,,33611200,5.0,2.0,,,,5316.1,,,,2015,14657658,326118.0,266,34,1975.0,,06059,,24,1,,,1,060590626.493002,2,2016-07-01,,2.0,,464202.0,1636,,,,,2.0,
1438,1,0.1536,,13150,,97101,,,-119166794,,2061,,,,78332.0,,252,61110091001011,,1438.0,,34202239,6.0,3.0,,,,1334.88,,,,2015,17161956,34805.0,261,1110,1958.0,762940,06111,,,,,,1,061110091.001011,1,2016-02-11,1438,1.0,,113137.0,1438,,,,6000.0,1.0,
,,-0.0661,,46298,,96236,,,-118201000,,3101,,,,141395.0,,,60375759014007,,906.0,,33773500,0.0,2.0,,,,2551.1,,1,4,2015,12558045,60451.0,266,010C,1991.0,273486,06037,,2,1,,LBPD14,,060375759.014007,2,2016-07-05,,2.0,,201846.0,906,,,,54306.0,2.0,
,,-0.006,,12447,,96446,,,-118359787,,3101,,,,19969.0,,,60371256001004,,873.0,,34162112,0.0,2.0,,,,6430.92,,1,7,2015,10929251,35064.0,261,0100,1941.0,27431,06037,,7,,,LAR1,,060371256.001004,1,2016-04-29,,1.0,,55033.0,873,,,,6977.0,1.0,
957,2,-0.004,,13150,,97107,,,-119171553,1,2061,,,,144975.0,,0,61110050041102,,1914.0,,34246289,5.0,3.0,,,,7867.26,1,,,2015,17112350,144975.0,266,1129,2007.0,,06111,,,,,,2,061110050.041102,2,2016-09-13,957,2.5,,289950.0,1914,,,,,2.5,
,,0.0469,,46298,,96241,,,-118188000,,3101,Y,,,69414.0,,,60375720022001,,926.0,15,33819900,0.0,2.0,,,,1268.2,,1,7,2015,12465575,29811.0,266,010E,1966.0,273109,06037,,7,,,LBR4N,,060375720.022001,1,2016-10-07,,1.0,,99225.0,926,,,,13418.0,1.0,
,,0.0751,,12447,,96010,,,-118292218,,3101,,,,468202.0,,,60371915001001,,4812.0,,34089852,0.0,8.0,,,,13454.48,,4,7,2015,12007193,613123.0,248,0400,1923.0,32059,06037,,,,,LARD1.5,,060371915.001001,4,2016-09-16,,4.0,,1081325.0,,,,4812,6252.0,4.0,
570,2,0.0469,,47198,,97109,,,-119201107,,2061,,,,90000.0,,0,61110043042015,,1089.0,,34178791,5.0,3.0,,,,2926.96,1,,,2015,17154777,166000.0,265,1128,1964.0,,06111,,,,,,1,061110043.042015,1,2016-08-12,570,1.5,,256000.0,1089,,,,3049.0,1.5,
,,0.003,,12773,,96996,,,-117631501,1,1286,,,,191785.0,,406,60590320482019,,1701.0,,33651718,0.0,2.0,,,,3931.74,,,,2015,14500556,205478.0,261,122,1989.0,,06059,,,,,,2,060590320.482019,2,2016-08-01,,2.0,,397263.0,1701,,,,4770.0,2.0,
,,0.01,,24384,,96505,,,-117840267,,3101,,1,,190520.0,,,60374033222003,,1260.0,,33989234,0.0,3.0,,,true,4554.31,,1,7,2015,12858950,178226.0,261,0104,1977.0,,06037,,2,,,LCR1*,,060374033.222003,2,2016-09-02,,2.0,,368746.0,1260,,,,8648.0,2.0,
,2,-0.008,,16764,,97025,,,-117884447,,1286,,,,197853.0,,458,60590863051000,1,2279.0,,33826986,8.0,4.0,,,,6951.9,1,,,2015,14116660,390390.0,261,122,1972.0,275470,06059,,,,,,2,060590863.051000,2,2016-06-14,,2.5,1,588243.0,2279,,,,5310.0,2.5,
,,0.0989,,29189,,97323,,,-117963059,,3101,,,,42857.0,,,60379100013055,,1092.0,,34562786,0.0,3.0,,,,866.51,,1,7,2015,11226241,18211.0,261,0100,1980.0,,06037,,7,,,LCA11*,,060379100.013055,1,2016-01-07,,1.0,,61068.0,1092,,,,23290.0,1.0,
1887,2,0.0354,,25974,,97097,,,-118902391,3,2061,,,,262000.0,,560,61110076072042,,3608.0,,34269000,8.0,4.0,360,,,8308.3,1,,,2015,17197966,490000.0,261,1111,1993.0,,06111,,,,,,2,061110076.072042,3,2016-07-22,1887,3.5,,752000.0,3608,,,,6324.0,3.5,
,,-0.0305,,10389,,96086,,,-118396843,,3101,,,,595539.0,,,60377006002018,1,4722.0,,34078563,0.0,5.0,,,,36679.96,,1,1,2015,11636261,2507552.0,261,0101,1925.0,,06037,,2,1,,BHR1*,,060377006.002018,5,2016-08-15,,5.0,1,3103091.0,4722,,,,12628.0,5.0,
,,0.0159,,24384,,96522,,,-117853105,,3101,,,,180740.0,,,60374033051001,,1546.0,,33976021,0.0,3.0,,,,7151.26,,1,4,2015,13101544,409827.0,261,0100,1989.0,,06037,,2,1,,LCRPD10000,,060374033.051001,3,2016-05-18,,3.0,,590567.0,1546,,,,4003.0,3.0,
,,-0.0387,,45457,,96321,,,-118267748,,3101,,,,87787.0,,,60373017011005,,844.0,,34158653,0.0,2.0,,,,4829.5,,1,7,2015,12060318,351153.0,261,0100,1924.0,273789,06037,,7,,,GLR1YY,,060373017.011005,1,2016-05-12,,1.0,,438940.0,844,,,,4863.0,1.0,
1369,1,-0.0387,,13150,,97106,,,-119232365,1,2061,,,,261975.0,,0,61110036092043,,1369.0,,34179087,4.0,2.0,144,,,6434.48,,,,2015,17158487,261975.0,266,1129,1985.0,,06111,,,,,,2,061110036.092043,2,2016-02-25,1369,2.0,,523950.0,1369,,,,,2.0,
1760,1,0.009,,27110,,97118,,,-118767597,1,2061,,,,219470.0,,430,61110079011003,,1760.0,,34281574,6.0,3.0,,,,5043.52,,,,2015,17228772,219470.0,261,1111,1989.0,,06111,,,,,,2,061110079.011003,2,2016-04-26,1760,2.0,,438940.0,1760,,,,5692.0,2.0,
,1,0,,47568,,97005,,,-117853906,,1286,,,,78141.0,,439,60590754044000,,1633.0,,33770898,7.0,3.0,,,,4813.34,,,,2015,14248426,354756.0,261,122,1968.0,273677,06059,,,,,,2,060590754.044000,2,2016-08-03,,2.0,,432897.0,1633,,,,5936.0,2.0,
,,-0.2575,,10389,,96087,,,-118385000,,3101,,,,357111.0,,,60377008022006,1,1618.0,,34069900,0.0,2.0,,,,10496.67,,1,10,2015,11631627,527672.0,266,010C,1986.0,,06037,,2,1,,BHR4*,,060377008.022006,2,2016-03-29,,2.0,1,884783.0,1618,,,,96910.0,2.0,
,,0.0208,,12773,,96995,,,-117675000,,1286,,,,72681.0,,0,60590320282022,,693.0,,33624200,0.0,2.0,,,,2753.8,,,,2015,14625582,196049.0,266,34,1985.0,,06059,,,,,,1,060590320.282020,2,2016-06-06,,2.0,,268730.0,693,,,,,2.0,
,,0.0488,,54212,,96510,,,-118078901,,3101,Y,,,137697.0,,,60374336012005,,2262.0,14,34063725,0.0,6.0,,,,5995.12,,3,7,2015,11866315,321293.0,247,0300,1955.0,,06037,,,,,RMM1*,,060374336.012005,3,2016-06-14,,3.0,,458990.0,,,,2262,12810.0,3.0,
,,0.1493,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10916923,,,,,,,,,,,,,,,2016-05-06,,,,,,,,,,,
,,0.0266,,5465,,96190,,,-117980000,,3101,,,,108000.0,,,60375037031001,,975.0,,33910300,0.0,1.0,,,,4262.8,,1,4,2015,12735681,221000.0,266,010C,1990.0,,06037,,2,1,,LMR110000-,,060375037.031000,1,2016-09-07,,1.0,,329000.0,975,,,,74599.0,1.0,
,,0.009,,52650,,96943,,,-117811875,,1286,,,,128040.0,,415,60590525154002,,1085.0,,33691991,0.0,3.0,,,,3403.26,,,,2015,14289231,109403.0,261,122,1994.0,275979,06059,,,,,,2,060590525.154002,2,2016-04-13,,2.0,,237443.0,1085,,,,2750.0,2.0,
,,-0.0408,,6021,,96496,,,-118155049,,3101,,,,158200.0,,,60374820011006,,1493.0,,34059231,0.0,3.0,,,,7901.27,,1,4,2015,11828160,456800.0,261,0100,1959.0,,06037,,2,,,MPR1YY,,060374820.011006,2,2016-12-09,,2.0,,615000.0,1493,,,,5850.0,2.0,
,,-0.2421,,12447,,96000,,,-118310947,,3101,,,,40905.0,,,60372131001008,,1974.0,,34049932,0.0,3.0,,,,8871.56,,1,7,2015,11749852,29352.0,261,0100,1920.0,274514,06037,,2,,,LAR1,,060372131.001008,2,2016-06-08,,2.0,,70257.0,1974,,,,7511.0,2.0,
,,-0.0888,,29712,,96109,,,-118394212,,3101,,,,322514.0,,,60376211044001,,1880.0,,33862682,0.0,3.0,,,,9453.54,,1,4,2015,11514094,535741.0,266,010C,1991.0,,06037,,2,,,HBR3YY,,060376211.044001,3,2016-02-09,,3.0,,858255.0,1880,,,,4649.0,3.0,
1086,1,0.0305,,,,97081,,,-119382958,,2061,,,,80775.0,,256,61110012061170,,1086.0,,34319234,5.0,2.0,,,,3076.64,,,,2015,17068795,65340.0,261,1110,1928.0,,06111,,,,,,1,061110012.061170,2,2016-01-14,1086,2.0,,146115.0,1086,,,,4166.0,2.0,
,,0.0129,,54311,,96378,,,-118553000,,3101,,,,63629.0,,,60379203304004,1,1488.0,,34403000,0.0,2.0,,,,1970.73,,1,4,2015,11169908,15686.0,266,010C,1988.0,48200,06037,,2,1,,SCUR4,,060379203.304004,2,2016-03-18,,2.0,1,79315.0,1488,,,,642861.0,2.0,
,,0.0237,,40227,,97330,,,-118020322,,3101,,,,107828.0,,,60379107051025,,1645.0,,34562457,0.0,4.0,,,,3239.44,,1,4,2015,11216021,31534.0,261,0100,1992.0,,06037,,2,1,,PDA21*,,060379107.051025,2,2016-06-20,,2.0,,139362.0,1645,,,,7064.0,2.0,
,,-0.112,,47762,,96125,,,-118219207,,3101,,,,134251.0,,,60375356071014,,1650.0,,33943766,0.0,3.0,,,,3327.67,,2,7,2015,12302758,102031.0,246,0200,1924.0,,06037,,,,,SGR2YY,,060375356.071014,2,2016-08-01,,2.0,,236282.0,,,,1650,4828.0,2.0,
,,0.0325,,10734,,96398,,,-118629749,,3101,,,,224000.0,,,60379201041041,1,1046.0,,34500272,0.0,2.0,,,,5602.35,,1,7,2015,11174690,150000.0,261,0101,1986.0,,06037,,2,1,,LCR15000*,,060379201.041041,2,2016-07-22,,2.0,1,374000.0,1046,,,,15436.0,2.0,
,,-0.0987,,118994,,96042,,,-118271469,,3101,,,,87381.0,,,60375409012010,,1127.0,,33921118,0.0,3.0,,,,3288.72,,1,7,2015,12240350,81864.0,261,0100,1954.0,,06037,,7,,,LCA1*,,060375409.012010,1,2016-03-17,,1.0,,169245.0,1127,,,,5345.0,1.0,
,,-0.0377,,54722,,96162,,,-118321838,,3101,,,,41600.0,,,60376500012014,,2436.0,,33881629,0.0,6.0,,,,6058.17,,1,7,2015,11433758,633400.0,261,0100,1955.0,416334,06037,,7,,,TORR-LO,,060376500.012014,3,2016-04-22,,3.0,,675000.0,2436,,,,6005.0,3.0,
,,0.0421,,12773,,96995,,,-117642653,,1286,,,,110288.0,,0,60590320473000,,1206.0,,33656807,0.0,2.0,,,,3209.22,,,,2015,14614639,195082.0,266,34,1986.0,,06059,,,,,,1,060590320.473000,2,2016-05-12,,2.0,,305370.0,1206,,,,,2.0,
,,0.0431,,12773,,96996,,,-117650443,,1286,,,,274659.0,,580,60590320383004,,2926.0,,33595946,0.0,5.0,,,,8724.3,1,,,2015,14472333,613341.0,261,122,1990.0,,06059,,,,,,2,060590320.383004,2,2016-01-15,,2.5,,888000.0,2926,,,,5684.0,2.5,
,,-0.0243,,118225,,96172,,,-118001860,,3101,,,,107913.0,,,60375035022004,,1178.0,,33930575,0.0,3.0,,,,5151.06,,1,7,2015,12825406,309257.0,261,0100,1955.0,,06037,,7,,,LCRA06,,060375035.022004,2,2016-10-11,,2.0,,417170.0,1178,,,,10804.0,2.0,
,,-0.0233,,14634,,96171,,,-118018930,,3101,,,,128823.0,,,60375033013009,,1029.0,,33949986,0.0,3.0,,,,5063.72,,1,7,2015,12796368,279168.0,261,0100,1952.0,,06037,,7,,,WHR16000*,,060375033.013009,1,2016-01-27,,1.0,,407991.0,1029,,,,6894.0,1.0,
,,0.0169,,25459,,96987,,,-117690287,,1286,,,,255620.0,,0,60590423372002,,2207.0,,33501880,0.0,3.0,,,,3414.78,1,,,2015,14651493,68939.0,266,34,1990.0,,06059,,,,,,2,060590423.372002,2,2016-01-28,,2.5,,324559.0,2207,,,,,2.5,
,,-0.0555,,40227,,97328,,,-118094694,,3101,,,,,,,,,,,34554209,0.0,0.0,,,,4983.15,,,,2015,11240007,16108.0,261,010V,,,06037,,,,,PDR17000*,,060379107.071,,2016-02-07,,,,16108.0,,,,,7664.0,0.0,
,,-0.007,,12447,,96028,,,-118306190,,3101,,,,55738.0,,,60372373005004,,1168.0,,33980823,0.0,3.0,,,,2286.44,,1,7,2015,12191323,125766.0,261,0100,1923.0,118208,06037,,7,,,LAR1,,060372373.005004,1,2016-05-09,,1.0,,181504.0,1168,,,,5359.0,1.0,
,1,-0.009,,47568,,97004,,,-117911584,,1286,,,,139493.0,,430,60590748032003,1,1795.0,,33733712,5.0,6.0,,,true,3347.08,,,,2015,13974547,132326.0,261,122,1962.0,268604,06059,,,,,,2,060590748.032003,3,2016-01-07,,3.0,,271819.0,1795,,,,7500.0,3.0,1
,,-0.0523,,52650,,96954,,,-117762707,,1286,,,,279866.0,,419,60590524173014,,1780.0,,33698972,0.0,3.0,,,,12041.34,,,,2015,14353791,539134.0,261,1,2005.0,276486,06059,,,,,,2,060590524.173014,2,2016-04-07,,2.0,,819000.0,1780,,,,4225.0,2.0,
,,-0.0346,,54053,,96122,,,-118399791,,3101,,,,181000.0,,,60376704132011,,1617.0,,33771480,0.0,4.0,,,,11102.97,,1,4,2015,12709684,724000.0,261,0100,1963.0,,06037,,2,,,RPRS10000*,,060376704.132011,2,2016-05-04,,2.0,,905000.0,1617,,,,7728.0,2.0,
,,0.009,,52835,,96998,,,-117645437,,1286,,,,271355.0,,0,60590320582031,,1692.0,,33547906,0.0,3.0,,,,7622.3,1,,,2015,14595764,179007.0,266,1,2004.0,,06059,,,,,,2,060590320.582031,2,2016-04-22,,2.5,,450362.0,1692,,,,,2.5,
,,0.0535,,33840,,96985,,,-117632257,,1286,,,,596840.0,,757,60590422036000,1,5095.0,,33500427,0.0,4.0,,,true,11404.6,1,,,2015,14422885,480513.0,261,122,1988.0,,06059,,,,,,3,060590422.036000,3,2016-01-15,,3.5,,1077353.0,5095,,,,18000.0,3.5,1
,,-0.007,,25459,,96987,,,-117714234,,1286,,,,61782.0,,0,60590423262007,,1026.0,,33531536,0.0,2.0,,,,2795.36,,,,2015,14655273,208871.0,266,34,1983.0,,06059,,,,,,1,060590423.262007,2,2016-12-23,,2.0,,270653.0,1026,,,,,2.0,
,,0.062,,12447,,95986,,,-118322384,,3101,,,,524269.0,,,60372110002012,,3535.0,,34063089,0.0,3.0,,,,32080.5,,1,4,2015,11983733,2097078.0,261,0100,1935.0,274517,06037,,2,,,LARE15,,060372110.002012,5,2016-04-13,,5.0,,2621347.0,3535,,,,14427.0,5.0,
,2,0.005,,12773,,96996,,,-117633812,,1286,,,,212995.0,,600,60590320341004,,3097.0,,33644990,9.0,4.0,,,,8371.94,,,,2015,14499221,542551.0,261,122,1979.0,,06059,,,13,,,2,060590320.341004,3,2016-04-13,,3.0,,755546.0,3097,,,,6240.0,3.0,
,,0.0469,,10734,,96398,,,-118626341,,3101,,,,145000.0,,,60379201182007,,1963.0,,34469748,0.0,4.0,,,,6451.23,,1,4,2015,11176185,322000.0,261,0100,1996.0,,06037,,2,1,,LCA22*,,060379201.182007,3,2016-10-13,,3.0,,467000.0,1963,,,,4846.0,3.0,
1323,2,0.0469,,34278,,96385,,,-118815642,1,2061,,,,285077.0,,0,61110075102007,,2670.0,,34219257,2.0,0.0,,,,5061.5,,,,2015,17217327,190048.0,266,1129,1998.0,,06111,,,,,,2,061110075.102007,3,2016-07-07,1323,3.0,,475125.0,2670,,,,,3.0,
,1,0,,24812,,97041,,,-117951045,1,1286,,,,103326.0,,360,60590019031004,,1932.0,,33858111,6.0,3.0,,,,1749.94,,,,2015,13913156,31196.0,261,122,1954.0,,06059,,,,,,1,060590019.031004,2,2016-02-01,,2.0,,134522.0,1932,,,,6646.0,2.0,
886,2,-0.0325,,25974,,97097,,,-118844613,1,2061,,,,221314.0,,510,61110076143000,,1622.0,,34298979,7.0,3.0,,,,4929.1,1,,,2015,17207518,221314.0,261,1111,1989.0,,06111,,,,,,2,061110076.143000,2,2016-07-06,886,2.5,,442628.0,1622,,,,5087.0,2.5,
,,-3.194,,12447,,96447,,,-118363000,,3101,,,,131254.0,,,60371431003016,,1230.0,,34148600,0.0,2.0,,,,3870.52,,1,4,2015,10931889,179445.0,266,010C,2008.0,27431,06037,,2,1,,LAR3,,060371431.003016,2,2016-01-12,,2.0,,310699.0,1230,,,,,2.0,
,1,0.0218,,52650,,96947,,,-117830561,,1286,,,,160009.0,,0,60590626113005,,1547.0,,33658760,6.0,2.0,,,,6540.64,1,,,2015,14662056,472378.0,266,34,1974.0,275129,06059,,24,,,,1,060590626.113005,2,2016-09-26,,2.5,,632387.0,1547,,,,,2.5,
,1,-0.0274,,24832,,97047,,,-117951915,,1286,,,,84207.0,,440,60590883013003,1,1380.0,,33802101,7.0,3.0,,,,3395.42,,,,2015,13931304,180884.0,261,122,1955.0,,06059,,,,,,2,060590883.013003,2,2016-08-12,,2.0,1,265091.0,1380,,,,8864.0,2.0,
,,-0.0161,,54722,,96162,,,-118349392,,3101,,,,240477.0,,,60376503005000,,2552.0,,33858808,0.0,4.0,,,,7526.63,,1,4,2015,11445657,408738.0,266,010C,2006.0,274750,06037,,2,1,,TORR-MD,,060376503.005000,4,2016-08-29,,4.0,,649215.0,2552,,,,100815.0,4.0,
,,0.0276,,54311,,96403,,,-118528658,,3101,,,,276051.0,,,60379200152015,1,2214.0,,34472761,0.0,4.0,,,,5987.02,,1,4,2015,11344473,105776.0,261,0101,1988.0,6952,06037,,2,1,,SCUR2,,060379200.152015,3,2016-03-31,,3.0,1,381827.0,2214,,,,6156.0,3.0,
,,-0.005,,30908,,96469,,,-117733672,,3101,,,,352000.0,,,60374018002028,,2585.0,,34110975,0.0,4.0,,,,8337.74,,1,4,2015,12864290,314000.0,261,0100,1962.0,764147,06037,,2,,,CLRS10000*,,060374018.002028,3,2016-08-24,,3.0,,666000.0,2585,,,,9702.0,3.0,
,,0.1275,,12447,,96120,,,-118525085,,3101,,,,1119799.0,,,60372627061007,1,3875.0,,34043411,0.0,5.0,,,,38647.14,,1,10,2015,11663561,2049651.0,261,0101,1994.0,19810,06037,,2,1,,LAR1,,060372627.061007,6,2016-05-27,,6.0,1,3169450.0,3875,,,,11618.0,6.0,
,,0.2223,,12447,,96045,,,-118440352,,3101,,,,153691.0,,,60372713005002,,999.0,,34022766,0.0,3.0,,,,8847.24,,1,7,2015,11560791,563535.0,261,0100,1944.0,116415,06037,,7,,,LAR1,,060372713.005002,1,2016-10-07,,1.0,,717226.0,999,,,,4991.0,1.0,
,,-0.006,,12447,,96228,,,-118277970,,3101,,,,147032.0,,,60372943022014,,1514.0,,33787961,0.0,2.0,,,,3610.12,,1,7,2015,12627595,135432.0,261,0100,1951.0,48516,06037,,7,,,LAR1,,060372943.022014,1,2016-08-15,,1.0,,282464.0,1514,,,,5239.0,1.0,
,,-0.6015,,46298,,96237,,,-118125060,,3101,,,,325697.0,,,60375775011002,,2736.0,,33759280,0.0,3.0,,,,12883.64,,1,1,2015,12527839,745337.0,261,0100,1952.0,116828,06037,,2,1,,LBR1S,,060375775.011002,3,2016-04-29,,3.0,,1071034.0,2736,,,,3216.0,3.0,
,,-0.003,,118225,,96172,,,-118005215,,3101,,,,112197.0,,,60375035012000,,1176.0,,33937275,0.0,3.0,,,,4972.8,,1,7,2015,12824274,297834.0,261,0100,1956.0,,06037,,2,,,LCRA06,,060375035.012000,2,2016-06-10,,2.0,,410031.0,1176,,,,6216.0,2.0,
